procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 124946112 203316 4897744    0    0    10   623   28   30  1  0 99  0  0
 2  0      0 124419440 203316 5426444    0    0     0     0 2241  443  0  3 97  0  0
 1  2      0 124378480 203600 5468852    0    0 11693 481892 2292  998  0  1 94  5  0
 2  0      0 123976792 203340 5869368    0    0  1036 76976 1927  943  0  3 96  1  0
 0  2      0 123805680 203484 6040296    0    0  1189 347296 1509  568  0  1 95  4  0
 1  0      0 123514896 203364 6331092    0    0  1176 211296 2224 1799  0  2 95  3  0
 1  2      0 123233456 203508 6612948    0    0  1189 283180 1510  640  0  2 95  3  0
 1  0      0 123230856 203388 6613076    0    0  1176 275412 3257 2705  0  1 96  4  0
 1  0      0 123231864 203388 6613084    0    0     0     0  431  150  0  0 100  0  0
 1  0      0 123231864 203388 6613084    0    0     0     0  324  166  0  0 100  0  0
 0  0      0 123232248 203388 6612992    0    0     0     0  396  155  0  0 100  0  0
 0  0      0 123232248 203388 6613000    0    0     0     0  351  128  0  0 100  0  0
 0  0      0 123232248 203396 6612996    0    0     0   548  476  208  0  0 100  0  0
 0  0      0 123232248 203396 6613012    0    0     0     4  453  193  0  0 100  0  0
 0  0      0 123232248 203396 6613016    0    0     0     0  325  100  0  0 100  0  0
 0  0      0 123232248 203396 6613028    0    0     0     0  268   69  0  0 100  0  0
 0  0      0 123232248 203396 6613032    0    0     0     0  240   79  0  0 100  0  0
 3  0      0 122723176 203404 6613036    0    0     0   160 2660  875  1  1 98  0  0
 3  0      0 122037632 203404 6613132    0    0     0     0 3019 2075  7  4 89  0  0
 3  0      0 122028432 203404 6613152    0    0     0     0 5713 3733  9  1 90  0  0
 0  0      0 122030304 203404 6613156    0    0     0     0 1835 3068  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 122030048 203404 6613160    0    0     0     0  612  258  0  0 100  0  0
 0  0      0 122030048 203412 6613152    0    0     0   628  695  260  0  0 100  0  0
 0  0      0 122029800 203412 6613176    0    0     0     0  616  229  0  0 100  0  0
 0  0      0 122029800 203412 6613184    0    0     0     0  707  300  0  0 100  0  0
 2  0      0 121964456 203604 6617032    0    0     0 10916 37378 57212 12  3 85  0  0
 0  0      0 123220080 203732 6617632    0    0  6512  5576 10634 14497  1  1 98  0  0
