procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 124796944 275828 4960784    0    0    13   927   43   47  1  0 98  0  0
 2  0      0 124284416 275828 5472860    0    0     0     0 2129  401  0  3 97  0  0
 1  2      0 124231496 276228 5521956    0    0  5061 461136 2087  714  0  1 94  5  0
 2  0      0 123825792 275852 5929372    0    0   920 99400 2100  947  0  2 96  1  0
 1  2      0 123660224 275996 6095688    0    0  1189 358340 1579  558  0  1 95  4  0
 1  0      0 123378496 275876 6376536    0    0  1176 202184 2170  949  0  2 96  2  0
 1  2      0 123086240 276020 6669420    0    0  1189 261460 1622  639  0  2 95  3  0
 2  0      0 122925216 275912 6835040    0    0  1176 299044 2444 1054  0  1 95  4  0
 1  2      0 122518976 276220 7242992    0    0  1189 137536 1905  774  0  3 97  1  0
 2  0      0 122478912 276100 7281956    0    0  1176 423120 2696 1322  0  1 95  4  0
 0  2      0 121945424 276244 7815488    0    0  1189 33020 1087  625  0  3 97  0  0
 0  2      0 121944928 276244 7816520    0    0     0 489364 2051  397  0  1 94  6  0
 1  0      0 121473184 276124 8288332    0    0  1176 38128 2105 1023  0  3 97  1  0
 0  2      0 121372880 276268 8389740    0    0  1189 421028 1571  573  0  1 94  5  0
 1  0      0 121013552 276148 8749904    0    0  1176 139540 2525 1656  0  2 96  2  0
 0  2      0 120798376 276292 8964292    0    0  1189 312332 1658  766  0  2 95  3  0
 1  0      0 120560512 276172 9200352    0    0  1176 248196 2415  960  0  2 95  3  0
 1  1      0 120221624 276316 9538968    0    0  1189 188708 1592  586  0  2 96  2  0
 0  0      0 120217808 276192 9538884    0    0  1176 371820 4486 4462  0  1 94  4  0
 0  0      0 120215568 276192 9538940    0    0     0     0  588  269  0  0 100  0  0
 0  0      0 120217328 276192 9538940    0    0     0     0  503  218  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 120217328 276192 9538944    0    0     0     0  265   98  0  0 100  0  0
 0  0      0 120217328 276192 9538952    0    0     0     0  380  140  0  0 100  0  0
 0  0      0 120217072 276200 9538960    0    0     0   712  551  322  0  0 100  0  0
 0  0      0 120217072 276200 9538972    0    0     0     0  295  118  0  0 100  0  0
 0  0      0 120217072 276200 9538976    0    0     0     4  242   64  0  0 100  0  0
 0  0      0 120217072 276200 9538984    0    0     0     0  313  116  0  0 100  0  0
 0  0      0 120217072 276200 9538988    0    0     0     0  372  136  0  0 100  0  0
 8  0      0 119349952 276204 9538992    0    0     0   212 3762 1505  1  1 98  0  0
 9  0      0 117294392 276204 9539276    0    0     0     0 7323 4150 19  8 72  0  0
 7  0      0 117075888 276204 9539320    0    0     0     0 14098 11951 24  2 74  0  0
 0  0      0 117073888 276204 9539340    0    0     0     0 5911 7944  6  1 94  0  0
 0  0      0 117073128 276204 9539344    0    0     0     0  700  411  0  0 100  0  0
 0  0      0 117072624 276208 9539348    0    0     0   328  837  314  0  0 100  0  0
 0  0      0 117072368 276208 9539360    0    0     0   736 1027  506  0  0 100  0  0
 1  0      0 117071616 276212 9539364    0    0     0    68 1147  911  0  0 100  0  0
13  0      0 116975424 276380 9542196    0    0     0  7908 58738 117743 29  6 66  0  0
 8  0      0 116872432 276380 9542992    0    0     0     0 8050 13043 26  1 74  0  0
16  0      0 116825136 276380 9542992    0    0     0     0 7080 2827 30  0 69  0  0
 5  0      0 117660480 278324 9553616    0    0  6794 41664 32709 37435 37  3 60  0  0
 7  0      0 120185616 281840 9553888    0    0 26550  5848 8699 13651  1  1 98  0  0
 2  0      0 120187200 276860 9555600    0    0 11780  2560 8349 8831  0  2 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 123344064 276860 6403696    0    0     0     0 2277 1109  0  2 98  0  0
