procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 126839920 136312 3077276    0    0    34  1825   68   85  2  1 97  1  0
 2  0      0 126326864 136312 3593560    0    0     0     0 1716  394  0  3 97  0  0
 1  2      0 126286560 136456 3633572    0    0  1189 476336 2071  589  0  1 94  5  0
 2  0      0 125881096 136336 4043088    0    0  1176 81756 2125 1026  0  3 96  1  0
 0  2      0 125725104 136480 4197860    0    0  1189 366984 1836  616  0  1 95  4  0
 1  0      0 125414224 136360 4508776    0    0  1176 190588 2051  927  0  2 96  2  0
 0  2      0 125154912 136504 4767448    0    0  1189 290644 1535  595  0  2 95  3  0
 2  0      0 124944752 136384 4981092    0    0  1176 266928 2638 1035  0  2 95  3  0
 1  2      0 124586208 136528 5339644    0    0  1189 198164 1556  616  0  2 96  2  0
 2  0      0 124475088 136408 5450316    0    0  1176 359412 2194  904  0  1 95  4  0
 1  2      0 124013984 136576 5911556    0    0  1189 82592 1378  623  0  3 96  1  0
 1  0      0 124013728 136456 5911712    0    0  1176 474976 2332  959  0  1 94  5  0
 1  0      0 123466712 136456 6460580    0    0     0     0 1566  319  0  3 97  0  0
 0  2      0 123444536 136600 6483332    0    0  1189 493348 1597  557  0  1 94  6  0
 1  0      0 123003840 136480 6923836    0    0  1176 64252 1879 1491  0  3 96  1  0
 1  1      0 122871808 136624 7055228    0    0  1189 390920 1931  685  0  1 95  4  0
 1  0      0 122540720 136504 7384564    0    0  1176 166688 1898  922  0  2 96  2  0
 0  2      0 122298320 136648 7627132    0    0  1189 298164 1252  662  0  2 95  3  0
 1  0      0 122079872 136528 7847936    0    0  1176 259424 2390 1582  0  2 95  3  0
 0  2      0 121729136 136672 8198836    0    0  1189 198164 1496  674  0  2 96  2  0
 1  0      0 121614992 136552 8311232    0    0  1176 359432 2115  909  0  1 95  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2      0 121155152 136696 8770756    0    0  1189 83752 1326  617  0  3 96  1  0
 1  0      0 121151648 136576 8775440    0    0  1176 473848 2036  835  0  1 94  5  0
 1  0      0 120620832 136592 9305524    0    0     0 264824 2394  678  0  4 95  1  0
 1  0      0 120418760 136624 9505464    0    0  2365 292948 16401 42463  0  2 93  5  0
 0  2      0 120010816 136820 9914420    0    0  1189 141820 1369  654  0  3 96  1  0
 1  0      0 120010112 136700 9914712    0    0  1176 415792 3295 3807  0  1 94  5  0
 0  0      0 119998992 136700 9914800    0    0     0     0 2566 3059  0  1 99  0  0
 0  0      0 119997952 136700 9914700    0    0     0     0  245  135  0  0 100  0  0
 0  0      0 119997952 136700 9914708    0    0     0     0  260  115  0  0 100  0  0
 0  0      0 119998208 136700 9914712    0    0     0     0  396  134  0  0 100  0  0
 0  0      0 119998208 136708 9914712    0    0     0   632  497  243  0  0 100  0  0
 0  0      0 119998208 136708 9914728    0    0     0     0  294   98  0  0 100  0  0
 0  0      0 119998208 136708 9914732    0    0     0     0  293   81  0  0 100  0  0
 0  0      0 119998224 136708 9914740    0    0     0     0  289  100  0  0 100  0  0
 0  0      0 119998224 136708 9914744    0    0     0     0  277  160  0  0 100  0  0
 0  0      0 119998224 136716 9914752    0    0     0    64  246  104  0  0 100  0  0
24  0      0 118886640 136736 9920804    0    0     0     0 25963 69813 26 14 61  0  0
12  0      0 118110232 136736 9921924    0    0     0     0 21121 45608 45  6 49  0  0
12  0      0 118108464 136736 9921936    0    0     0     0 8547 2224 37  1 61  0  0
24  0      0 118026320 136736 9921940    0    0     0     0 13794 2531 69  1 30  0  0
 0  1      0 120040336 136760 9938788    0    0     0  7844 11065 14902 21  3 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 119983968 137304 9938760    0    0 55238 66736 17759 23072  1  4 91  5  0
 0  0      0 119983984 137020 9938380    0    0  2674     0 4634 3606  0  1 99  0  0
 1  0      0 123541600 137020 6384928    0    0     0     0 1905  839  0  3 97  0  0
